Time Bucket (America/New_York),Downstairs_1 (kWhs),Downstairs_2 (kWhs),TOTAL:,Radon/Ejector Pump (kWhs),Kitchen Outlets 2 (kWhs),Laundry Outlets (kWhs),Girls/Mud/Library Outlet (kWhs),Utility Room Outlets (kWhs),Outside Outlets E/S/Stai (kWhs),Garage Outlets 1 (kWhs),Garage Outlets 2 (kWhs),Well (kWhs),Bath 1 Outlets (kWhs),Water Heater (kWhs),East Bonus Outlets (kWhs),Girls/Mud/Library Lights (kWhs),Ryan/Hall/Stair Outlets (kWhs),Ryan/Garage Lights (kWhs),Bonus/Kitchen/etc Lights (kWhs)
8/14/2021 0:00,4.6811,5.3453,10.03,0.0136,0.182,0.7425,0.3707,0.0001,0.0037,0,0.4469,0.2408,0.008,6.9205,0.0847,0.2564,0.025,0.1758,0.4797
8/15/2021 0:00,9.2876,10.2878,19.58,0.0137,0.2279,2.301,0.4376,0.0002,0.003,0.0001,1.4192,0.4372,0.1201,12.1584,0.2315,0.4992,0.0701,0.5388,0.7631
8/16/2021 0:00,14.9948,15.6106,30.61,0.0363,0.451,2.324,0.9859,0.0009,0.0031,0.0001,1.6464,1.6901,0.1622,20.1592,0.3194,1.1112,0.0307,0.5862,0.7748
8/17/2021 0:00,11.5123,12.2908,23.80,0.0299,0.4439,2.3433,0.9126,0.0001,0.0002,0.0001,1.3191,0.6474,0.0124,14.7697,0.1101,1.314,0.02,0.5556,0.9995
8/18/2021 0:00,12.7631,13.2262,25.99,0.0304,0.3661,2.3145,0.8316,0.0001,0.0064,0.0001,1.311,0.6024,0.1669,17.5746,0.1429,1.1713,0.0296,0.5095,0.6311
8/19/2021 0:00,8.0621,9.5967,17.66,0.0199,0.2769,2.3226,1.3266,0.0002,0.0003,0.0001,1.3525,0.3633,0.2262,9.1655,0.2931,0.7704,0.0713,0.4674,0.6448
8/20/2021 0:00,12.5158,13.1532,25.67,0.0246,0.5317,2.3251,0.8843,0.0002,0.0054,0.0001,1.4445,0.5798,0.0795,16.1769,0.4553,1.4691,0.1558,0.4854,0.7849
8/21/2021 0:00,15.3945,17.2156,32.61,0.0417,0.1731,2.3236,1.6142,0.0005,0.0002,0.0001,1.3163,1.1937,0.2402,22.4155,0.4903,1.1678,0.0401,0.5823,0.7283
8/22/2021 0:00,9.5288,10.5739,20.10,0.0175,0.2689,2.3054,1.2191,0.0002,0.0019,0.0001,1.4574,0.4106,0.1232,11.6043,0.1694,0.6607,0.0573,0.8401,0.6356
8/23/2021 0:00,15.3896,17.266,32.66,0.0441,0.4806,2.3009,1.2979,0.003,0.0025,0.0001,1.3379,4.8258,0.1823,18.4813,0.3604,1.0692,0.0188,0.5336,1.1758
8/24/2021 0:00,8.6669,9.8582,18.53,0.0216,0.0869,2.303,0.964,0.0002,0.0111,0.0001,1.4536,0.4187,0.1336,10.6372,0.3679,0.7353,0.0353,0.5278,0.4841
8/25/2021 0:00,12.8969,13.8868,26.78,0.0273,0.4152,2.3183,0.9474,0.0034,0.0048,0.0001,1.4263,4.6809,0.192,13.7619,0.3216,1.0362,0.006,0.4446,0.6386
8/26/2021 0:00,12.8308,13.8613,26.69,0.0318,0.4299,2.321,1.1575,0.0002,0.0032,0.0001,1.3383,0.6203,0.1309,17.4682,0.348,1.2449,0.0365,0.5003,0.7737
8/27/2021 0:00,11.3932,12.9889,24.38,0.0111,0.3419,2.2921,1.0559,0.001,0.0043,0.0001,1.4471,1.0654,0.1142,14.4849,0.3297,1.1086,0.0389,0.4535,1.3054
8/28/2021 0:00,14.9346,17.0289,31.96,0.0332,0.2743,2.3033,1.1899,0.0001,0.0086,0.0001,1.4188,0.741,0.1243,22.323,0.457,0.9978,0.0569,0.4684,1.3208
8/29/2021 0:00,11.3735,13.0074,24.38,0.0259,0.2755,2.299,1.2413,0.0005,0.0005,0.0001,1.4249,0.836,0.1491,15.2753,0.1453,0.8317,0.0268,0.4794,1.0331
8/30/2021 0:00,12.5824,13.6696,26.25,0.0307,0.1971,2.2993,1.4533,0.0001,0.0387,0.0001,1.4128,0.6877,0.1292,17.0701,0.1937,1.1574,0.0113,0.632,0.6416
8/31/2021 0:00,10.7745,11.3966,22.17,0.022,0.2716,2.2973,1.0507,0.0009,0.001,0.0001,1.4088,0.8004,0.1987,12.6582,0.2654,1.1819,0.0338,0.8243,0.83
9/1/2021 0:00,10.6682,11.5667,22.23,0.0248,0.3167,2.2815,1.5034,0.0001,0.0063,0.0001,1.3425,0.5232,0.1563,13.2218,0.0805,1.1797,0.0349,0.6328,0.6103
9/2/2021 0:00,10.8992,13.1326,24.03,0.0304,0.1514,2.2832,1.4155,0.0009,0.0052,0.0001,1.3923,0.9591,0.1196,14.4374,0.2768,0.8783,0.0748,0.4886,1.1843
9/3/2021 0:00,7.5567,8.3717,15.93,0.0108,0.1897,2.2703,1.0229,0.0002,0.0166,0.0001,1.2703,0.3679,0.1209,8.229,0.1192,0.9606,0.0129,0.4915,0.467
9/4/2021 0:00,15.8642,17.7146,33.58,0.0335,0.6065,2.2986,1.3254,0.0001,0.0044,0.0001,1.2779,0.8844,0.2451,23.7175,0.457,0.8437,0.0546,0.4865,1.0932
9/5/2021 0:00,8.8327,10.5281,19.36,0.012,0.2987,2.2624,1.3523,0.0007,0.0003,0.0001,1.3461,0.7846,0.059,10.4503,0.2752,0.867,0.0206,0.4564,0.8048
9/6/2021 0:00,12.4979,13.9459,26.44,0.1383,0.2154,2.2711,1.3345,0.0001,0.0037,0.0001,1.4981,0.7282,0.1023,16.9213,0.2838,1.2344,0.0422,0.4817,0.9035
9/7/2021 0:00,9.3214,11.311,20.63,0.0169,0.1597,2.2785,1.2547,0.0001,0.0128,0.0001,1.3329,0.4911,0.0986,12.2515,0.2727,0.7267,0.0172,0.4423,0.9433
9/8/2021 0:00,12.0293,12.8676,24.90,0.0249,0.3438,2.2919,1.1245,0.0002,0.0452,0.0001,1.3107,0.5686,0.2741,16.1823,0.2354,0.969,0.0201,0.563,0.6501
9/9/2021 0:00,5.392,6.0104,11.40,0.0109,0.1001,1.4122,0.6842,0.0001,0.0133,0.0001,0.8457,0.301,0.0025,6.4527,0.1412,0.652,0.0001,0.2879,0.2852
